id,nombre
c001,Accesorios de moda
c002,Artículos del hogar
c003,Artículos deportivos
c004,Automóviles hatchback
c005,Bebidas
c006,Belleza
c007,Calzado
c008,Carnes
c009,Condimentos
c010,Cuidado personal
c011,Decoración del hogar
c012,Electrodomésticos de cocina
c013,Electrónica
c014,Esenciales de cocina
c015,Fragancias
c016,Frutas
c017,Gafas
c018,Granos
c019,Lácteos
c020,Laptops
c021,Mariscos
c022,Mascotas
c023,Minivanes
c024,Motocicletas
c025,Muebles
c026,Para bebidas
c027,Para servir
c028,Postres
c029,Relojes
c030,Ropa
c031,Sedanes
c032,Suplementos de salud
c033,SUVs
c034,Teléfonos inteligentes
c035,Utensilios de cocción
c036,Utensilios de cocina
c037,Vajilla
c038,Verduras
