id,nombre,categoria,precio,stock,sku/codigo_barras,imagen_url,activo
p001,Máscara Essence Lash Princess,Belleza,9.99,99,BEA-ESS-ESS-001,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp,true
p002,Paleta de sombras con espejo,Belleza,19.99,34,BEA-GLA-EYE-002,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp,true
p003,Tarro de polvo,Belleza,14.99,89,BEA-VEL-POW-003,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp,true
p004,Labial rojo,Belleza,12.99,91,BEA-CHI-LIP-004,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp,true
p005,Esmalte de uñas rojo,Belleza,8.99,79,BEA-NAI-NAI-005,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp,true
p006,Calvin Klein CK One,Fragancias,49.99,29,FRA-CAL-CAL-006,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp,true
p007,Chanel Coco Noir Eau De,Fragancias,129.99,58,FRA-CHA-CHA-007,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp,true
p008,Dior J'adore,Fragancias,89.99,98,FRA-DIO-DIO-008,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp,true
p009,Dolce Shine Eau de,Fragancias,69.99,4,FRA-DOL-DOL-009,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp,true
p010,Gucci Bloom Eau de,Fragancias,79.99,91,FRA-GUC-GUC-010,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp,true
p011,Cama Annibale Colombo,Muebles,1899.99,88,FUR-ANN-ANN-011,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp,true
p012,Sofá Annibale Colombo,Muebles,2499.99,60,FUR-ANN-ANN-012,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp,true
p013,Mesita de noche cerezo africano,Muebles,299.99,64,FUR-FUR-BED-013,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp,true
p014,Silla ejecutiva de conferencias Knoll Saarinen,Muebles,499.99,26,FUR-KNO-KNO-014,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp,true
p015,Lavabo de baño de madera con espejo,Muebles,799.99,7,FUR-BAT-WOO-015,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/thumbnail.webp,true
p016,Manzana,Frutas,1.99,8,GRO-BRD-APP-016,https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp,true
p017,Bife de res,Carnes,12.99,86,GRO-BRD-BEE-017,https://cdn.dummyjson.com/product-images/groceries/beef-steak/thumbnail.webp,true
p018,Comida para gatos,Mascotas,8.99,46,GRO-BRD-FOO-018,https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp,true
p019,Carne de pollo,Carnes,9.99,97,GRO-BRD-CHI-019,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp,true
p020,Aceite de cocina,Esenciales de cocina,4.99,10,GRO-BRD-COO-020,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp,true
p021,Pepino,Verduras,1.49,84,GRO-BRD-CUC-021,https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp,true
p022,Comida para perros,Mascotas,10.99,71,GRO-BRD-FOO-022,https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp,true
p023,Huevos,Lácteos,2.99,9,GRO-BRD-EGG-023,https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp,true
p024,Filete de pescado,Mariscos,14.99,74,GRO-BRD-FIS-024,https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp,true
p025,Pimiento verde,Verduras,1.29,33,GRO-BRD-GRE-025,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp,true
p026,Pimiento picante verde,Verduras,0.99,3,GRO-BRD-GRE-026,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp,true
p027,Tarro de miel,Condimentos,6.99,34,GRO-BRD-HON-027,https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp,true
p028,Helado,Postres,5.49,27,GRO-BRD-CRE-028,https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp,true
p029,Jugo,Bebidas,3.99,50,GRO-BRD-JUI-029,https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp,true
p030,Kiwi,Frutas,2.49,99,GRO-BRD-KIW-030,https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp,true
p031,Limón,Frutas,0.79,31,GRO-BRD-LEM-031,https://cdn.dummyjson.com/product-images/groceries/lemon/thumbnail.webp,true
p032,Leche,Lácteos,3.49,27,GRO-BRD-MIL-032,https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp,true
p033,Mora,Frutas,4.99,99,GRO-BRD-MUL-033,https://cdn.dummyjson.com/product-images/groceries/mulberry/thumbnail.webp,true
p034,Café Nescafé,Bebidas,7.99,57,GRO-BRD-NES-034,https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/thumbnail.webp,true
p035,Papas,Verduras,2.29,13,GRO-BRD-POT-035,https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp,true
p036,Proteína en polvo,Suplementos de salud,19.99,80,GRO-BRD-PRO-036,https://cdn.dummyjson.com/product-images/groceries/protein-powder/thumbnail.webp,true
p037,Cebollas rojas,Verduras,1.99,82,GRO-BRD-ONI-037,https://cdn.dummyjson.com/product-images/groceries/red-onions/thumbnail.webp,true
p038,Arroz,Granos,5.99,59,GRO-BRD-RIC-038,https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp,true
p039,Gaseosas,Bebidas,1.99,53,GRO-BRD-SOF-039,https://cdn.dummyjson.com/product-images/groceries/soft-drinks/thumbnail.webp,true
p040,Fresa,Frutas,3.99,46,GRO-BRD-STR-040,https://cdn.dummyjson.com/product-images/groceries/strawberry/thumbnail.webp,true
p041,Caja de papel higiénico,Artículos del hogar,2.49,86,GRO-BRD-TIS-041,https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/thumbnail.webp,true
p042,Agua,Bebidas,0.99,53,GRO-BRD-WAT-042,https://cdn.dummyjson.com/product-images/groceries/water/thumbnail.webp,true
p043,Columpio decorativo,Decoración del hogar,59.99,47,HOM-BRD-DEC-043,https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/thumbnail.webp,true
p044,Marco de fotos árbol familiar,Decoración del hogar,29.99,77,HOM-BRD-FAM-044,https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/thumbnail.webp,true
p045,Planta decorativa para el hogar,Decoración del hogar,39.99,28,HOM-BRD-HOU-045,https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/thumbnail.webp,true
p046,Maceta,Decoración del hogar,14.99,59,HOM-BRD-PLA-046,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp,true
p047,Lámpara de mesa,Decoración del hogar,49.99,9,HOM-BRD-TAB-047,https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/thumbnail.webp,true
p048,Espátula de bambú,Utensilios de cocina,7.99,37,KIT-BRD-BAM-048,https://cdn.dummyjson.com/product-images/kitchen-accessories/bamboo-spatula/thumbnail.webp,true
p049,Taza de aluminio negra,Para bebidas,5.99,75,KIT-BRD-BLA-049,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/thumbnail.webp,true
p050,Batidor negro,Utensilios de cocina,9.99,73,KIT-BRD-BLA-050,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/thumbnail.webp,true
p051,Licuadora de vaso,Electrodomésticos de cocina,39.99,9,KIT-BRD-BOX-051,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/thumbnail.webp,true
p052,Wok de acero al carbono,Utensilios de cocción,29.99,40,KIT-BRD-CAR-052,https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/thumbnail.webp,true
p053,Tabla de cortar,Utensilios de cocina,12.99,14,KIT-BRD-CHO-053,https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/thumbnail.webp,true
p054,Exprimidor de cítricos amarillo,Utensilios de cocina,8.99,22,KIT-BRD-CIT-054,https://cdn.dummyjson.com/product-images/kitchen-accessories/citrus-squeezer-yellow/thumbnail.webp,true
p055,Cortador de huevos,Utensilios de cocina,6.99,40,KIT-BRD-SLI-055,https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/thumbnail.webp,true
p056,Cocina eléctrica,Electrodomésticos de cocina,49.99,21,KIT-BRD-ELE-056,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/thumbnail.webp,true
p057,Colador de malla fina,Utensilios de cocina,9.99,85,KIT-BRD-FIN-057,https://cdn.dummyjson.com/product-images/kitchen-accessories/fine-mesh-strainer/thumbnail.webp,true
p058,Tenedor,Utensilios de cocina,3.99,7,KIT-BRD-FOR-058,https://cdn.dummyjson.com/product-images/kitchen-accessories/fork/thumbnail.webp,true
p059,Vaso,Para bebidas,4.99,46,KIT-BRD-GLA-059,https://cdn.dummyjson.com/product-images/kitchen-accessories/glass/thumbnail.webp,true
p060,Rallador negro,Utensilios de cocina,10.99,84,KIT-BRD-GRA-060,https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/thumbnail.webp,true
p061,Batidora de mano,Electrodomésticos de cocina,34.99,84,KIT-BRD-HAN-061,https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/thumbnail.webp,true
p062,Bandeja para cubitos de hielo,Utensilios de cocina,5.99,13,KIT-BRD-CUB-062,https://cdn.dummyjson.com/product-images/kitchen-accessories/ice-cube-tray/thumbnail.webp,true
p063,Cernidor de cocina,Utensilios de cocina,7.99,68,KIT-BRD-KIT-063,https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/thumbnail.webp,true
p064,Cuchillo,Utensilios de cocina,14.99,7,KIT-BRD-KNI-064,https://cdn.dummyjson.com/product-images/kitchen-accessories/knife/thumbnail.webp,true
p065,Fiambrera,Utensilios de cocina,12.99,94,KIT-BRD-LUN-065,https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/thumbnail.webp,true
p066,Horno de microondas,Electrodomésticos de cocina,89.99,59,KIT-BRD-MIC-066,https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/thumbnail.webp,true
p067,Portatazas,Utensilios de cocina,15.99,88,KIT-BRD-TRE-067,https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/thumbnail.webp,true
p068,Sartén,Utensilios de cocción,24.99,90,KIT-BRD-PRD-068,https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/thumbnail.webp,true
p069,Plato,Vajilla,3.99,66,KIT-BRD-PLA-069,https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/thumbnail.webp,true
p070,Pinzas rojas,Utensilios de cocina,6.99,82,KIT-BRD-TON-070,https://cdn.dummyjson.com/product-images/kitchen-accessories/red-tongs/thumbnail.webp,true
p071,Olla plateada con tapa de vidrio,Utensilios de cocción,39.99,40,KIT-BRD-SIL-071,https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/thumbnail.webp,true
p072,Espátula ranurada,Utensilios de cocina,8.99,88,KIT-BRD-SLO-072,https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/thumbnail.webp,true
p073,Estante de especias,Utensilios de cocina,19.99,79,KIT-BRD-SPI-073,https://cdn.dummyjson.com/product-images/kitchen-accessories/spice-rack/thumbnail.webp,true
p074,Cuchara,Utensilios de cocina,4.99,59,KIT-BRD-SPO-074,https://cdn.dummyjson.com/product-images/kitchen-accessories/spoon/thumbnail.webp,true
p075,Bandeja,Para servir,16.99,71,KIT-BRD-TRA-075,https://cdn.dummyjson.com/product-images/kitchen-accessories/tray/thumbnail.webp,true
